message_id,file_link,from_id,chat_id,date,file_name,mime_type,file_id,file_unique_id,file_size,Files
3105,,1789016259,1789016259,1724052746,1789016259(1).pdf,application/pdf,BQACAgUAAxkBAAIKc2bC9Qlmf_R5pFtgw_YYYdAYjwGKAAKQEQACwgkZVoPO08Sr9ANANQQ,AgADkBEAAsIJGVY,1786,/SEMESTER1 /Physics /2023
3110,,1789016259,1789016259,1724052746,1789016259(1).pdf,application/pdf,BQACAgUAAxkBAAIKdGbC9Qm7SWk_VlWgUpJFTyuEE2cHAAKREQACwgkZVv_1kIiDLY5uNQQ,AgADkREAAsIJGVY,2131,/SEMESTER1 /Physics /2023
3111,,1789016259,1789016259,1724052746,1789016259(2).pdf,application/pdf,BQACAgUAAxkBAAIKdWbC9QmDRl8GR9NvqgiFy0E_fHTiAAKSEQACwgkZVkJWJuol30PeNQQ,AgADkhEAAsIJGVY,2100,/SEMESTER1 /Physics /2023
3116,,1789016259,1789016259,1724052746,1789016259(3).pdf,application/pdf,BQACAgUAAxkBAAIKdmbC9QkvqkDDcAFa6jp4J_WftkRSAAKTEQACwgkZVmF52aSJ3LuCNQQ,AgADkxEAAsIJGVY,2822,/SEMESTER1 /Physics /2023
3117,,1789016259,1789016259,1724052746,1789016259(1).pdf,application/pdf,BQACAgUAAxkBAAIKd2bC9QmcRC1Cfm4dh6LXv0IUXLQLAAKUEQACwgkZVisQLvotUHETNQQ,AgADlBEAAsIJGVY,2131,/SEMESTER1 /Physics /2023
3120,,1789016259,1789016259,1724052746,1789016259(2).pdf,application/pdf,BQACAgUAAxkBAAIKeGbC9QkKlhjFVSOAQkmQlcOBM0eyAAKVEQACwgkZVmLz8udrfKO4NQQ,AgADlREAAsIJGVY,2100,/SEMESTER1 /Physics /2023
3125,,1789016259,1789016259,1724052746,1789016259(3).pdf,application/pdf,BQACAgUAAxkBAAIKeWbC9QlcWmpL3X9ZAT2XL_kVmvHoAAKWEQACwgkZVlhZggsdejXDNQQ,AgADlhEAAsIJGVY,2822,/SEMESTER1 /Physics /2023
3127,,1789016259,1789016259,1724052746,1789016259(1).pdf,application/pdf,BQACAgUAAxkBAAIKembC9QkZIE-3Y_odWxLpvt5HvY4DAAKXEQACwgkZVpL-Sg2iSMIyNQQ,AgADlxEAAsIJGVY,2421,/SEMESTER1 /Physics /2023
3129,,1789016259,1789016259,1724052746,1789016259(2).pdf,application/pdf,BQACAgUAAxkBAAIKe2bC9QnACt-XqSCZrvHMvGzkQD9yAAKYEQACwgkZVuHjbYKBBmUCNQQ,AgADmBEAAsIJGVY,2421,/SEMESTER1 /Physics /2023
3133,,1789016259,1789016259,1724052746,1789016259(3).pdf,application/pdf,BQACAgUAAxkBAAIKfGbC9QnSZ5yT9Z-25mYzb9BjnE1fAAKZEQACwgkZVv-qMHlHzybyNQQ,AgADmREAAsIJGVY,2220,/SEMESTER1 /Physics /2023
3137,,1789016259,1789016259,1724052745,1789016259.pdf,application/pdf,BQACAgUAAxkBAAIKbmbC9QnLsn3JFhHX0Mxv8QdlsjWlAALVEAACwgkJVo9KQt0DbqdrNQQ,AgAD1RAAAsIJCVY,2043,/SEMESTER1 /Physics /2023
3139,,1789016259,1789016259,1724052745,1789016259.pdf,application/pdf,BQACAgUAAxkBAAIKb2bC9Qk4GJAVwFPhCbe_wqvOxGbWAAIrEQACwgkJVnET6dU9KQGrNQQ,AgADKxEAAsIJCVY,2043,/SEMESTER1 /Physics /2023
3143,,1789016259,1789016259,1724052745,1789016259.pdf,application/pdf,BQACAgUAAxkBAAIKcGbC9QmQU3YrQ4bU9NELoKtZ8P2NAAI0EQACwgkJVsgz3pHZkGnkNQQ,AgADNBEAAsIJCVY,2043,/SEMESTER1 /Physics /2023
3145,,1789016259,1789016259,1724052745,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIKcWbC9QmG3ZD37FXxX3vQ_5KjGoS-AAKdEQACT934VQ_yhEhBczwMNQQ,AgADnREAAk_d-FU,4644,/SEMESTER1 /Physics /2023
4219,,1789016259,1789016259,1724065808,file handling-checkpoint (2).py,text/x-python,BQACAgUAAxkBAAIQeWbDKBBCdspjo1MDeL-JCj4sSFvKAAIwEgAC49QYVl7qmRyBmaVjNQQ,AgADMBIAAuPUGFY,3094,/SEMESTER1 /Physics /2023
4239,,1789016259,1789016259,1724065898,file handling-checkpoint (2).py,text/x-python,BQACAgUAAxkBAAIQjWbDKGr3nLdskWMoPPmuf5H0cKw1AAIxEgAC49QYVtWGJCr0mOEFNQQ,AgADMRIAAuPUGFY,3094,/SEMESTER1 /EnggMechanics /2023
4273,,1789016259,1789016259,1724375373,file handling-checkpoint (2).py,text/x-python,BQACAgUAAxkBAAIQsGbH4U3MiaBhdHbs0SV58yw4YMGdAAK9EAACFONBVocWm--qRnfWNQQ,AgADvRAAAhTjQVY,3094,/SEMESTER1 /EnggMechanics /2023
